ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_status,total_aeronaves_envolvidas,ocorrencia_saida_pista,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao,fator_nome,fator_aspecto,fator_condicionante,fator_area,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_destinatario
INCIDENTE,SALVADOR,BA,BRASIL,SBSV,21/09/2009,13:40:00,,1,NÃO,PRAPM,AVIÃO,AEROMOT,AMT-200SO,RF10,PISTÃO,MONOMOTOR,1050,1050,2.0,2007.0,BRASIL,BRASIL,AVIÃO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,POLICIAL,LEVE,0,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,GCOL,,,,,,,,
INCIDENTE,POUSO ALEGRE,MG,BRASIL,***,21/09/2010,18:20:00,FINALIZADA,1,NÃO,PRVSA,HELICÓPTERO,EUROCOPTER FRANCE,EC 155 B1,EC55,TURBOEIXO,BIMOTOR,4920,4920,10.0,2010.0,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,ARC,,,,,,,,
ACIDENTE,ALTO ALEGRE,RR,BRASIL,***,21/09/2010,17:10:00,FINALIZADA,1,NÃO,PTHLD,HELICÓPTERO,HELIBRAS,HB-350B,AS50,TURBOEIXO,MONOMOTOR,1950,1950,6.0,1980.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,TÁXI AÉREO,SUBSTANCIAL,0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"Incrementar os mecanismos de fiscalização das empresas de táxi aéreo da região norte, visando coibir a utilização de tripulantes sem o treinamento requerido no tipo de aeronave.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,BELO HORIZONTE,MG,BRASIL,***,21/09/2010,13:50:00,FINALIZADA,1,NÃO,PPPTV,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-500,AT45,TURBOÉLICE,BIMOTOR,18600,18600,52.0,1996.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,NENHUM,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
INCIDENTE GRAVE,PARAUAPEBAS,PA,BRASIL,***,21/09/2012,11:55:00,FINALIZADA,1,NÃO,PTVIB,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PA32,PISTÃO,MONOMOTOR,1633,1633,6.0,1987.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,REDENÇÃO,ALBERTO ALCOLUMBRE,CRUZEIRO,PRIVADA,LEVE,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,MANUTENÇÃO DA AERONAVE,DESEMPENHO DO SER HUMANO,MANUTENÇÃO DA AERONAVE,FATOR OPERACIONAL,"""Realizar auditoria técnica na empresa Planave Aviação Ltda. (CHE 765-02/ANAC) com intuito de analisar e propor melhorias no processo de recebimento de partes e registros de manutenção após revisão de motores e demais componentes aeronáuticos constantes na Lista de Capacidade (""""Adendo ao Certificado de Homologação de Empresa"""").""",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,RIO DE JANEIRO,RJ,BRASIL,SBGL,21/09/2012,20:58:00,FINALIZADA,1,NÃO,N422LA,AVIÃO,BOEING COMPANY,767-346F,***,JATO,BIMOTOR,0,0,0.0,2007.0,ESTADOS UNIDOS,ESTADOS UNIDOS,AVIÃO,***,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,***,NENHUM,0,PANE SECA,COMBUSTÍVEL | PANE SECA,FUEL,,,,,,,,
ACIDENTE,PLANALTINA,GO,BRASIL,***,21/09/2013,13:30:00,FINALIZADA,1,NÃO,PRMOB,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,1134,1134,4.0,2010.0,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,PRESIDENTE JUSCELINO KUBITSCHEK,FORA DE AERODROMO,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,PLANEJAMENTO DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,BRASIL,SBCT,21/09/2014,13:43:00,FINALIZADA,1,NÃO,PRMHI,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,184.0,2007.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,REGULAR,LEVE,0,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,SCF-NP,,,,,,,,
INCIDENTE,SALVADOR,BA,BRASIL,SBSV,21/09/2014,18:23:00,FINALIZADA,1,NÃO,PPCIE,AVIÃO,CIRRUS DESIGN,SR20,SR20,PISTÃO,MONOMOTOR,1315,1315,4.0,2000.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
ACIDENTE,PINHÃO,PR,BRASIL,***,21/09/2014,19:00:00,,1,NÃO,PUWHM,ULTRALEVE,JOSE ANTONIO ZATTAR JR,NYNJA,ULAC,PISTÃO,MONOMOTOR,472,472,2.0,2012.0,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,EXPERIMENTAL,DESTRUÍDA,0,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,SCF-NP,,,,,,,,
ACIDENTE,VERANÓPOLIS,RS,BRASIL,***,21/09/2014,19:30:00,,1,NÃO,PUPPP,ULTRALEVE,EDRA INDUSTRIA AERONAUTICA LTDA,DYNAMIC WT-9,ULAC,PISTÃO,MONOMOTOR,600,600,2.0,2012.0,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,EXPERIMENTAL,DESTRUÍDA,1,INDETERMINADO,INDETERMINADO,UNK,,,,,,,,
INCIDENTE,RECIFE,PE,BRASIL,SBRF,21/09/2015,14:40:00,FINALIZADA,1,NÃO,PTYZD,HELICÓPTERO,BELL HELICOPTER,407,B407,TURBOEIXO,MONOMOTOR,2268,2268,7.0,1999.0,BRASIL,BRASIL,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,GUARARAPES - GILBERTO FREYRE,GUARARAPES - GILBERTO FREYRE,INDETERMINADA,POLICIAL,LEVE,0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,,,,,,,,
ACIDENTE,SÃO JOSÉ DO RIO PRETO,SP,BRASIL,***,21/09/2016,14:15:00,FINALIZADA,1,NÃO,N1001R,AVIÃO,AIR TRACTOR,AT-602,***,TURBOÉLICE,MONOMOTOR,5670,5670,1.0,2016.0,ESTADOS UNIDOS,ESTADOS UNIDOS,AVIÃO,AGRÍCOLA,PROFESSOR URBANO ERNESTO STUMPF,MIRASSOL,DESCIDA,AGRÍCOLA,SUBSTANCIAL,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,OUTRO FATOR,OUTRO,***,OUTRO,"Atuar junto à autoridade da aviação civil norte-americana, Federal Aviation Administration (FAA), a fim de que a Air Tractor, Inc. oriente os pilotos que conduzem suas aeronaves a seguirem rigorosamente as rotas estabelecidas nos Special Airworthiness Certificates, visando prevenir ocorrências aeronáuticas, sobretudo quando operando em território brasileiro.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
ACIDENTE,SANTO ANTÔNIO DO LEVERGER,MT,BRASIL,SWLV,21/09/2017,10:20:00,,1,SIM,PRZHW,AVIÃO,DENNIS E. MOELLMAN,FOXTROT 4,***,PISTÃO,MONOMOTOR,1440,1440,4.0,,BRASIL,BRASIL,AVIÃO,EXPERIMENTAL,SANTO ANTÔNIO DE LEVERGER,SANTO ANTÔNIO DE LEVERGER,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,,,,,,,,
INCIDENTE GRAVE,MUCURI,BA,BRASIL,SNMU,21/09/2017,18:40:00,FINALIZADA,1,SIM,PTWHE,AVIÃO,BEECH AIRCRAFT,400A,BE40,JATO,BIMOTOR,7303,7303,10.0,1993.0,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,EURICO DE AGUIAR SALLES,MUCURI,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,0,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO,"Divulgar os ensinamentos colhidos na presente investigação, a fim de alertar pilotos e operadores da aviação civil brasileira sobre os riscos decorrentes da realização de finais para pouso não estabilizadas e da decisão de não realizar um procedimento de aproximação perdida mesmo quando o pouso não for considerado seguro.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,PATOS DE MINAS,MG,BRASIL,SNPD,21/09/2017,21:20:00,FINALIZADA,1,NÃO,PRLLE,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,2011.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,PATOS DE MINAS,PATOS DE MINAS,POUSO,PRIVADA,LEVE,0,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC,,,,,,,,
INCIDENTE,GUARULHOS,SP,BRASIL,SBGR,21/09/2017,22:00:00,FINALIZADA,1,NÃO,PTEUX,AVIÃO,EMBRAER,EMB-820C CARAJA,PAT4,TURBOÉLICE,BIMOTOR,3630,3630,7.0,1979.0,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,GOVERNADOR JOSÉ RICHA,GOVERNADOR ANDRÉ FRANCO MONTORO,POUSO,TÁXI AÉREO,NENHUM,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
INCIDENTE GRAVE,ÁGUA BOA,MT,BRASIL,SWHP,21/09/2018,21:30:00,ATIVA,1,SIM,PTLRP,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,2449,6.0,1978.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,XAVANTINA,OLHOS D'ÁGUA,POUSO,PRIVADA,LEVE,0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,,,,,,,,
INCIDENTE,CANTAGALO,RJ,BRASIL,**NI,21/09/2019,12:00:00,FINALIZADA,1,NÃO,PPOBM,HELICÓPTERO,HELIBRAS,AS 350 B3,AS50,TURBOEIXO,MONOMOTOR,2250,2250,6.0,2018.0,BRASIL,BRASIL,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,***,LEVE,0,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,,,,,,,,
ACIDENTE,ANTONINA,PR,BRASIL,***,21/09/2019,18:30:00,FINALIZADA,1,NÃO,PUXXX,TRIKE,***,***,***,***,SEM TRAÇÃO,250,250,0.0,0.0,BRASIL,BRASIL,TRIKE,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,SUBSTANCIAL,1,INDETERMINADO,INDETERMINADO,UNK,,,,,,,,
INCIDENTE,ITAJUBÁ,MG,BRASIL,SNHH,21/09/2021,14:15:00,FINALIZADA,1,NÃO,PPMML,HELICÓPTERO,EUROCOPTER DEUTSCHLAND,EC 135P2+,EC35,TURBOEIXO,BIMOTOR,2950,2950,7.0,2013.0,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,HELIBRÁS,HELIBRÁS,POUSO,PRIVADA,LEVE,0,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC,,,,,,,,
ACIDENTE,ENGENHEIRO CALDAS,MG,BRASIL,***,21/09/2022,17:51:00,ATIVA,1,NÃO,PRALX,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,1134,1134,4.0,2006.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,CORONEL ALTINO MACHADO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,TÁXI AÉREO,SUBSTANCIAL,0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,,,,,,,,
INCIDENTE,GUARULHOS,SP,BRASIL,SBGR,21/09/2022,11:30:00,FINALIZADA,1,NÃO,PTMZY,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,70000,70000,184.0,2001.0,BRASIL,BRASIL,AVIÃO,REGULAR,TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO,GOVERNADOR ANDRÉ FRANCO MONTORO,DESCIDA,REGULAR,NENHUM,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
INCIDENTE,CONFINS,MG,BRASIL,SBCF,21/09/2022,16:02:00,FINALIZADA,1,NÃO,PRAKC,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,23000,77.0,2015.0,BRASIL,BRASIL,AVIÃO,REGULAR,TANCREDO NEVES,GUANAMBI,SUBIDA,REGULAR,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DO MOTOR,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,,,,,,,,
INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,BRASIL,SBCT,21/09/2023,00:03:00,FINALIZADA,1,NÃO,PRAQL,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,23000,75.0,2013.0,BRASIL,BRASIL,AVIÃO,REGULAR,GOVERNADOR JOSÉ RICHA,AFONSO PENA,POUSO,REGULAR,NENHUM,0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,,,,,,,,
INCIDENTE,CAMPINAS,SP,BRASIL,SBKP,21/09/2023,00:52:00,FINALIZADA,1,NÃO,LXJCV,AVIÃO,BOEING,B747-400,***,JATO,SEM TRAÇÃO,397000,397000,0.0,0.0,LUXEMBURGO,LUXEMBURGO,AVIÃO,REGULAR,AFONSO PENA,VIRACOPOS,TÁXI,REGULAR,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,,,,,,,,
INCIDENTE,CAMPO GRANDE,MS,BRASIL,SBCG,21/09/2023,11:50:00,FINALIZADA,1,NÃO,PRMHR,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,184.0,2007.0,BRASIL,BRASIL,AVIÃO,REGULAR,CAMPO GRANDE,GOVERNADOR ANDRÉ FRANCO MONTORO,TÁXI,REGULAR,NENHUM,0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,,,,,,,,
ACIDENTE,BRASILÂNDIA,MS,BRASIL,SICM,21/09/2023,15:30:00,ATIVA,1,SIM,PTLJH,AVIÃO,CESSNA AIRCRAFT,210N,C210,PISTÃO,MONOMOTOR,1724,1724,6.0,1980.0,BRASIL,BRASIL,AVIÃO,ESPECIALIZADA,14 BIS,FAZENDA NOSSA SENHORA DE FÁTIMA,POUSO,ESPECIALIZADA,SUBSTANCIAL,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,,,,,,,,
INCIDENTE,CAMPINAS,SP,BRASIL,SBKP,21/09/2023,18:47:00,FINALIZADA,1,NÃO,PRAQT,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,23000,70.0,0.0,BRASIL,BRASIL,AVIÃO,REGULAR,VIRACOPOS,LAURO CARNEIRO DE LOYOLA,DECOLAGEM,REGULAR,NENHUM,0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,,,,,,,,
INCIDENTE,BRAGANÇA PAULISTA,SP,BRASIL,SDVH,21/09/2023,19:05:00,FINALIZADA,1,NÃO,PSTCA,TRIKE,TRIKE ICAROS INDUSTRIA AERONAUTICA LTDA,ADVENTURE,***,TURBOÉLICE,SEM TRAÇÃO,495,495,0.0,0.0,BRASIL,BRASIL,TRIKE,PARTICULAR,ATIBAIA,FAZENDA VALE ELDORADO - DR JOSÉ DE AGUIAR LEME,POUSO,PRIVADA,LEVE,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,,,,,,,,
INCIDENTE,SÃO PAULO,SP,BRASIL,SBMT,21/10/2009,14:00:00,,1,NÃO,PRPPT,HELICÓPTERO,AGUSTA,AW119MKII,A119,TURBOEIXO,MONOMOTOR,2850,2850,8.0,2008.0,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,LEVE,0,COM COMANDOS DE VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM COMANDOS DE VOO,SCF-NP,,,,,,,,
INCIDENTE,CAMPO GRANDE,MS,BRASIL,SSIE,21/10/2010,09:45:00,FINALIZADA,1,NÃO,PTAVC,AVIÃO,CESSNA AIRCRAFT,150J,C150,PISTÃO,MONOMOTOR,725,725,2.0,1969.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,INSTRUÇÃO,NENHUM,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
INCIDENTE,MACAÉ,RJ,BRASIL,SBME,21/10/2011,18:30:00,FINALIZADA,1,NÃO,PRMEM,HELICÓPTERO,EUROCOPTER FRANCE,AS 365 N3,AS65,TURBOEIXO,BIMOTOR,4300,4300,12.0,2007.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,TÁXI AÉREO,NENHUM,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
ACIDENTE,MONTENEGRO,RS,BRASIL,SSNG,21/10/2011,20:55:00,FINALIZADA,1,SIM,PPGAX,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1992.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,MONTENEGRO,MONTENEGRO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"ATUAR JUNTO AO AEROCLUBE DE MONTENEGRO, A FIM DE QUE AQUELE OPERADOR CUMPRA, RIGOROSAMENTE, O PREVISTO NO MCA 58-3 - MANUAL DO CURSO PILOTO PRIVADO ? AVIãO, SOBRETUDO NO QUE DIZ RESPEITO à OBRIGATORIEDADE DA REALIZAçãO DO BRIEFING, MOMENTO EM QUE O INSTRUTOR EXPLANARá, DETALHADAMENTE, COMO TRANSCORRERá A REFERIDA MISSãO, DESDE O APRONTO INICIAL ATé O ENCERRAMENTO COMPLETO DO VOO.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,PALMAS,TO,BRASIL,SBPJ,21/10/2012,16:40:00,FINALIZADA,1,NÃO,PTYZD,HELICÓPTERO,BELL HELICOPTER,407,B407,TURBOEIXO,MONOMOTOR,2268,2268,7.0,1999.0,BRASIL,BRASIL,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,POLICIAL,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,,,,,,,,
ACIDENTE,MARICÁ,RJ,BRASIL,***,21/10/2013,18:40:00,FINALIZADA,1,NÃO,PTKGK,AVIÃO,PIPER AIRCRAFT,PA-34-200,PA34,PISTÃO,BIMOTOR,1814,1814,6.0,1974.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,JACAREPAGUÁ,JACAREPAGUÁ,INDETERMINADA,INSTRUÇÃO,DESTRUÍDA,2,COM HÉLICE,FALHA OU MAU FUNCIONAMENTO DO MOTOR | COM HÉLICE,SCF-PP,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"Avaliar os procedimentos adotados na oficina de manutenção do Aeroclube do Brasil, principalmente no cumprimento das especificações contidas no MPI, com a finalidade de evitar a reincidência de erros relacionados com a aplicabilidade de diretrizes de aeronavegabilidade nas aeronaves para as quais a oficina é certificada.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
ACIDENTE,JARDIM,MS,BRASIL,SSJI,21/10/2015,14:30:00,FINALIZADA,1,SIM,PTLKW,AVIÃO,CESSNA AIRCRAFT,210R,C210,PISTÃO,MONOMOTOR,1746,1746,6.0,1986.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,PRESIDENTE PRUDENTE,JARDIM,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,MANUTENÇÃO DA AERONAVE,DESEMPENHO DO SER HUMANO,MANUTENÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
INCIDENTE,CURITIBA,PR,BRASIL,SBCT,21/10/2015,18:30:00,FINALIZADA,1,NÃO,PRMGM,AVIÃO,PILATUS,PC-12/47E,PC12,TURBOÉLICE,MONOMOTOR,4740,4740,10.0,2009.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,CARLOS PRATES,CARLOS PRATES,DESCIDA,PRIVADA,LEVE,0,CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO,OTHR,,,,,,,,
ACIDENTE,RECIFE,PE,BRASIL,SBRF,21/10/2016,09:30:00,FINALIZADA,1,SIM,PRSTN,AVIÃO,AIRBUS INDUSTRIE,A300-B4-203,A300,JATO,BIMOTOR,165000,165000,9.0,1985.0,BRASIL,BRASIL,AVIÃO,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,GUARARAPES - GILBERTO FREYRE,CORRIDA APÓS POUSO,REGULAR,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO,,,,
ACIDENTE,RIO NEGRINHO,SC,BRASIL,***,21/10/2017,19:45:00,,1,NÃO,PUXXX11,***,***,***,***,***,***,0,0,,,BRASIL,BRASIL,***,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,EXPERIMENTAL,SUBSTANCIAL,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
INCIDENTE,RIO DE JANEIRO,RJ,BRASIL,**NI,21/10/2019,10:35:00,FINALIZADA,1,NÃO,PRGXD,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,70533,199.0,2013.0,BRASIL,BRASIL,AVIÃO,REGULAR,NÃO IDENTIFICADO,NÃO IDENTIFICADO,DECOLAGEM,***,LEVE,0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,,,,,,,,
ACIDENTE,BELO HORIZONTE,MG,BRASIL,***,21/10/2019,08:15:00,FINALIZADA,1,NÃO,PRETJ,AVIÃO,CIRRUS DESIGN,SR20,SR20,PISTÃO,MONOMOTOR,1360,1360,4.0,2007.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,CARLOS PRATES,BAHIA - JORGE AMADO,SUBIDA,PRIVADA,DESTRUÍDA,4,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,POUCA EXPERIÊNCIA DO PILOTO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
INCIDENTE,MARINGÁ,PR,BRASIL,SBMG,21/10/2020,13:47:00,FINALIZADA,1,NÃO,PPGBC,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1991.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,SÍLVIO NAME JÚNIOR,SÍLVIO NAME JÚNIOR,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,,,,,,,,
